Compatible		Vendor / Chip
==========		=============
abracon,abb5zes3	AB-RTCMC-32.768kHz-B5ZE-S3: Real Time Clock/Calendar Module with I2C Interface
dallas,ds1307		64 x 8, Serial, I2C Real-Time Clock
dallas,ds1338		I2C RTC with 56-Byte NV RAM
dallas,ds1340		I2C RTC with Trickle Charger
dallas,ds1374		I2C, 32-Bit Binary Counter Watchdog RTC with Trickle Charger and Reset Input/Output
dallas,ds3232		Extremely Accurate I²C RTC with Integrated Crystal and SRAM
epson,rx8010		I2C-BUS INTERFACE REAL TIME CLOCK MODULE
epson,rx8025		High-Stability. I2C-Bus INTERFACE REAL TIME CLOCK MODULE
epson,rx8581		I2C-BUS INTERFACE REAL TIME CLOCK MODULE
mc,rv3029c2		Real Time Clock Module with I2C-Bus
nxp,pcf2127		Real-time clock
nxp,pcf2129		Real-time clock
nxp,pcf8563		Real-time clock/calendar
nxp,pcf85063		Tiny Real-Time Clock
pericom,pt7c4338	Real-time Clock Module
ricoh,r2025sd		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
ricoh,r2221tl		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
ricoh,rs5c372a		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
ricoh,rs5c372b		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
ricoh,rv5c386		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
ricoh,rv5c387a		I2C bus SERIAL INTERFACE REAL-TIME CLOCK IC
sii,s35390a		2-wire CMOS real-time clock
st,m41t00		Serial real-time clock (RTC)
st,m41t62		Serial real-time clock (RTC) with alarm
st,m41t80		M41T80 - SERIAL ACCESS RTC WITH ALARMS

